UniqueID,FirstName,LastName,PhoneNumber,Address,Sex,Religion
GZWWP8jJ66,Jane,Smith,+12169036232,678 Washington St,Male,Buddhism
pV6E8tj9eb,Emily,Miller,+14478145751,863 Pine St,Other,Buddhism
RIcErG295S,Sarah,Williams,+11492273635,659 Broadway,Other,Hinduism
jzupJzSfHN,John,Brown,+19958632956,993 Hill St,Other,Hinduism
kIR0tCvJaY,Jane,Wilson,+13503998917,989 Main St,Other,Christianity
ceWZ1RTf83,John,Brown,+13817603231,296 Main St,Male,Other
nbrci2RRUU,Laura,Wilson,+19617356274,172 Oak St,Male,Other
iWjBwSbDFC,David,Jones,+16805735958,653 Maple St,Male,Hinduism
ktAD922eWT,Laura,Moore,+16689556199,566 Hill St,Other,Buddhism
Txj1UDRWqz,Jane,Wilson,+17971021203,984 High St,Female,Hinduism
a3nXZdQcuc,John,Johnson,+18150517267,591 High St,Female,Christianity
87kF2LKBLT,Robert,Davis,+12177669154,318 High St,Male,Islam
nkWWV4gzqW,Alex,Jones,+13313518978,595 Maple St,Female,Other
VSTRQ0GQ4z,Jane,Taylor,+14696941959,164 Oak St,Male,Buddhism
eVVSHY1BpE,Alex,Taylor,+12245410842,215 Lake St,Female,Christianity
klCvdDMolN,Jane,Jones,+15273075433,103 High St,Male,Islam
ClPjkYVC7v,Emily,Smith,+16918386410,148 Oak St,Female,Other
GjMyiYjDkQ,Emily,Wilson,+19537436981,861 Washington St,Other,Buddhism
AxFYZP55hd,John,Wilson,+17794778124,878 Elm St,Other,Islam
jEzfcs25wS,Robert,Miller,+13499846131,915 Elm St,Male,Other
oxDDKqFZc0,Michael,Jones,+13162986388,262 Elm St,Male,Judaism
k0LIK3rciU,John,Jones,+16998287615,777 Hill St,Other,Islam
Fg40HpxPMV,Robert,Smith,+15919699968,879 Oak St,Male,Other
S2bDtkyRSW,David,Brown,+14994666757,303 Pine St,Female,Judaism
vIBAecVta4,Laura,Taylor,+14842283097,185 Maple St,Female,Buddhism
A3zSxcZhPV,Sarah,Moore,+16188423131,147 Elm St,Female,Judaism
VXITD6PLcc,David,Moore,+13030580966,132 Washington St,Other,Buddhism
Dl8dx71O6h,Robert,Smith,+15033424596,317 Maple St,Male,Hinduism
ZSZFT1DllJ,Linda,Jones,+18428097921,368 High St,Male,Islam
uQKZyXQene,Sarah,Moore,+16177357126,328 Lake St,Female,Buddhism
Q56LwJZv3V,Linda,Wilson,+15825497280,538 Broadway,Male,Judaism
MONQFPSMjy,John,Williams,+14644854123,813 Hill St,Male,Hinduism
